datapath,in-port,eth-dst,out-port,packets,bytes
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
datapath,in-port,eth-dst,out-port,packets,bytes
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     709,   30506
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     858,   36764
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     858,   36764
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     858,   36764
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     858,   36764
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     858,   36764
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     858,   36764
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     858,   36764
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     858,   36764
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     858,   36764
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     858,   36764
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     858,   36764
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     858,   36764
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     858,   36764
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     858,   36764
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     858,   36764
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     858,   36764
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     858,   36764
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     858,   36764
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     858,   36764
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     858,   36764
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     858,   36764
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     858,   36764
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      13,    1274
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     858,   36764
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      23,    2198
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     869,   37730
0000000000000006,       1,26:a9:ef:14:2a:6b,       4,       3,     294
0000000000000006,       4,d2:33:e1:6c:cd:fd,       1,       4,     392
000000000000001a,       1,26:a9:ef:14:2a:6b,       2,       3,     294
000000000000001a,       2,d2:33:e1:6c:cd:fd,       1,       4,     392
0000000000000003,       2,d2:33:e1:6c:cd:fd,       5,       4,     392
0000000000000003,       5,26:a9:ef:14:2a:6b,       2,       3,     294
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      26,    2492
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     872,   38024
000000000000001b,       1,26:a9:ef:14:2a:6b,       3,       3,     294
000000000000001b,       3,d2:33:e1:6c:cd:fd,       1,       4,     392
000000000000000a,       1,26:a9:ef:14:2a:6b,       2,       3,     294
000000000000000a,       2,d2:33:e1:6c:cd:fd,       1,       4,     392
000000000000000a,       1,26:a9:ef:14:2a:6b,       2,      14,    1316
000000000000000a,       2,d2:33:e1:6c:cd:fd,       1,      15,    1414
000000000000001a,       1,26:a9:ef:14:2a:6b,       2,      14,    1316
000000000000001a,       2,d2:33:e1:6c:cd:fd,       1,      15,    1414
0000000000000003,       2,d2:33:e1:6c:cd:fd,       5,      15,    1414
0000000000000003,       5,26:a9:ef:14:2a:6b,       2,      14,    1316
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      26,    2492
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     872,   38024
000000000000001b,       1,26:a9:ef:14:2a:6b,       3,      14,    1316
000000000000001b,       3,d2:33:e1:6c:cd:fd,       1,      15,    1414
0000000000000006,       1,26:a9:ef:14:2a:6b,       4,      14,    1316
0000000000000006,       4,d2:33:e1:6c:cd:fd,       1,      15,    1414
000000000000000a,       1,26:a9:ef:14:2a:6b,       2,      24,    2296
000000000000000a,       2,d2:33:e1:6c:cd:fd,       1,      25,    2394
000000000000001b,       1,26:a9:ef:14:2a:6b,       3,      24,    2296
000000000000001b,       3,d2:33:e1:6c:cd:fd,       1,      25,    2394
000000000000001a,       1,26:a9:ef:14:2a:6b,       2,      24,    2296
000000000000001a,       2,d2:33:e1:6c:cd:fd,       1,      25,    2394
0000000000000006,       1,26:a9:ef:14:2a:6b,       4,      24,    2296
0000000000000006,       4,d2:33:e1:6c:cd:fd,       1,      25,    2394
0000000000000003,       2,d2:33:e1:6c:cd:fd,       5,      25,    2394
0000000000000003,       5,26:a9:ef:14:2a:6b,       2,      24,    2296
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      26,    2492
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     872,   38024
000000000000001b,       1,26:a9:ef:14:2a:6b,       3,      35,    3318
000000000000001b,       3,d2:33:e1:6c:cd:fd,       1,      36,    3416
0000000000000006,       1,26:a9:ef:14:2a:6b,       4,      35,    3318
0000000000000006,       4,d2:33:e1:6c:cd:fd,       1,      36,    3416
0000000000000003,       2,d2:33:e1:6c:cd:fd,       5,      36,    3416
0000000000000003,       5,26:a9:ef:14:2a:6b,       2,      35,    3318
