sep=,
datapath,in-port,eth-dst,out-port,packets,bytes,duration-sec,duration-nsec,flags
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,       2,     133,0,362000000,0x0000
000000000000000a,       2,a6:5f:80:5a:fc:99,       1,       1,      74,0,463000000,0x0000
0000000000000003,       2,a6:5f:80:5a:fc:99,       5,       1,      66,0,250000000,0x0000
0000000000000003,       5,1a:e6:06:d3:9e:cd,       2,       1,      66,0,392000000,0x0000
0000000000000006,       1,1a:e6:06:d3:9e:cd,       4,       3,     199,0,202000000,0x0000
0000000000000006,       4,a6:5f:80:5a:fc:99,       1,       1,      66,0,274000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,       3,     437,0,132000000,0x0000
000000000000001a,       2,a6:5f:80:5a:fc:99,       1,       2,     134,0,156000000,0x0000
000000000000001c,       1,a6:5f:80:5a:fc:99,       1,       0,       0,0,492000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,       1,      66,0,312000000,0x0000
000000000000001b,       3,a6:5f:80:5a:fc:99,       1,       1,      66,0,301000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      64,   34688,0,51000000,0x0000
000000000000001c,       1,a6:5f:80:5a:fc:99,       1,       0,       0,10,527000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,     100,   65480,7,82000000,0x0000
000000000000001c,       1,a6:5f:80:5a:fc:99,       1,       0,       0,20,839000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,     133,   86090,17,132000000,0x0000
000000000000001c,       1,a6:5f:80:5a:fc:99,       1,       0,       0,30,889000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,     207,  126198,27,134000000,0x0000
000000000000001c,       1,a6:5f:80:5a:fc:99,       1,       0,       0,40,891000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,     303,  192234,37,222000000,0x0000
000000000000001c,       1,a6:5f:80:5a:fc:99,       1,       0,       0,50,979000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,     303,  192234,47,311000000,0x0000
000000000000001c,       1,a6:5f:80:5a:fc:99,       1,       0,       0,61,68000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,     303,  192234,57,376000000,0x0000
000000000000001c,       1,a6:5f:80:5a:fc:99,       1,       0,       0,71,133000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,      48,    3552,0,1000000,0x0000
0000000000000008,       1,1a:e6:06:d3:9e:cd,       1,     143,   10582,0,0,0x0000
0000000000000007,       2,1a:e6:06:d3:9e:cd,       2,     143,   10582,0,0,0x0000
000000000000001b,       3,4a:f2:58:d3:b3:07,       1,       0,       0,7,584000000,0x0000
0000000000000008,       1,1a:e6:06:d3:9e:cd,       1,     452,   33448,7,701000000,0x0000
0000000000000007,       2,1a:e6:06:d3:9e:cd,       2,     452,   33448,7,700000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,      74,    5476,0,1000000,0x0000
000000000000001a,       2,4a:f2:58:d3:b3:07,       1,       1,     102,0,156000000,0x0000
0000000000000007,       2,1a:e6:06:d3:9e:cd,       2,     798,   59052,17,833000000,0x0000
0000000000000008,       1,1a:e6:06:d3:9e:cd,       1,     792,   58608,17,833000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      91,    6734,4,303000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,      38,    2812,0,1000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,       4,     296,5,298000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,       6,     444,0,433000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      46,    3404,15,320000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,     121,    8954,0,141000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,     703,   52022,4,971000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,     509,   37666,3,818000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,     110,    8140,25,303000000,0x0000
