datapath,in-port,eth-dst,out-port,packets,bytes,duration-sec,duration-nsec,flags
0000000000000003,       3,e2:e1:fb:07:8a:5f,       5,      12,     836,7,840000000,0x0000
0000000000000003,       5,26:07:6a:27:9e:1f,       3,    6639, 4450860,7,835000000,0x0000
000000000000000a,       1,26:07:6a:27:9e:1f,       2,    6639, 4450860,7,821000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      12,     836,7,866000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,    6639, 4450860,7,828000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      12,     836,7,855000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,    6639, 4450860,7,832000000,0x0000
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      12,     836,7,850000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,    6639, 4450860,7,824000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      12,     836,7,863000000,0x0000
000000000000001b,       1,26:07:6a:27:9e:1f,       3,    6639, 4450860,7,823000000,0x0000
000000000000001b,       3,e2:e1:fb:07:8a:5f,       1,      12,     836,7,887000000,0x0000
000000000000001a,       1,26:07:6a:27:9e:1f,       2,    6639, 4450860,7,826000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      12,     836,7,880000000,0x0000
000000000000000a,       1,26:07:6a:27:9e:1f,       2,   22033,14804408,17,831000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      12,     836,17,876000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,   22033,14804408,17,838000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      12,     836,17,865000000,0x0000
000000000000001a,       1,26:07:6a:27:9e:1f,       2,   22033,14804408,17,830000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      12,     836,17,884000000,0x0000
0000000000000003,       3,e2:e1:fb:07:8a:5f,       5,      12,     836,17,843000000,0x0000
0000000000000003,       5,26:07:6a:27:9e:1f,       3,   22033,14804408,17,838000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,   22033,14804408,17,834000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      12,     836,17,873000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,   22033,14804408,17,839000000,0x0000
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      12,     836,17,857000000,0x0000
000000000000001b,       1,26:07:6a:27:9e:1f,       3,   22033,14804408,17,827000000,0x0000
000000000000001b,       3,e2:e1:fb:07:8a:5f,       1,      12,     836,17,891000000,0x0000
0000000000000003,       3,e2:e1:fb:07:8a:5f,       5,      12,     836,27,888000000,0x0000
0000000000000003,       5,26:07:6a:27:9e:1f,       3,   38209,25702400,27,883000000,0x0000
000000000000000a,       1,26:07:6a:27:9e:1f,       2,   38209,25702400,27,866000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      12,     836,27,911000000,0x0000
000000000000001a,       1,26:07:6a:27:9e:1f,       2,   38209,25702400,27,865000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      12,     836,27,919000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,   38209,25702400,27,951000000,0x0000
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      12,     836,27,969000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,   38209,25702400,27,970000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      12,     836,27,997000000,0x0000
000000000000001b,       1,26:07:6a:27:9e:1f,       3,   38209,25702400,27,966000000,0x0000
000000000000001b,       3,e2:e1:fb:07:8a:5f,       1,      12,     836,28,30000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,   38209,25702400,27,960000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      12,     836,27,999000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,   50369,33894420,37,895000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      12,     836,37,922000000,0x0000
000000000000000a,       1,26:07:6a:27:9e:1f,       2,   50369,33894420,37,885000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      12,     836,37,930000000,0x0000
000000000000001a,       1,26:07:6a:27:9e:1f,       2,   50369,33894420,37,913000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      12,     836,37,967000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,   50369,33894420,37,916000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      12,     836,37,955000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,   50369,33894420,37,921000000,0x0000
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      12,     836,37,939000000,0x0000
0000000000000003,       3,e2:e1:fb:07:8a:5f,       5,      12,     836,37,928000000,0x0000
0000000000000003,       5,26:07:6a:27:9e:1f,       3,   50369,33894420,37,923000000,0x0000
000000000000001b,       1,26:07:6a:27:9e:1f,       3,   50369,33894420,37,910000000,0x0000
000000000000001b,       3,e2:e1:fb:07:8a:5f,       1,      12,     836,37,974000000,0x0000
0000000000000003,       3,e2:e1:fb:07:8a:5f,       5,      13,     878,47,926000000,0x0000
0000000000000003,       5,26:07:6a:27:9e:1f,       3,   66824,44969930,47,921000000,0x0000
000000000000001a,       1,26:07:6a:27:9e:1f,       2,   66824,44969930,47,910000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,47,964000000,0x0000
000000000000001b,       1,26:07:6a:27:9e:1f,       3,   66824,44969930,47,907000000,0x0000
000000000000001b,       3,e2:e1:fb:07:8a:5f,       1,      13,     878,47,971000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,   66824,44969930,47,914000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,47,941000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,   66824,44969930,47,910000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      13,     878,47,949000000,0x0000
000000000000000a,       1,26:07:6a:27:9e:1f,       2,   66824,44969930,47,911000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,47,956000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,   66824,44969930,47,918000000,0x0000
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,47,936000000,0x0000
000000000000000a,       1,26:07:6a:27:9e:1f,       2,   78661,52939984,58,90000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,58,135000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,   78661,52939984,58,67000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      13,     878,58,106000000,0x0000
0000000000000003,       3,e2:e1:fb:07:8a:5f,       5,      13,     878,58,76000000,0x0000
0000000000000003,       5,26:07:6a:27:9e:1f,       3,   78661,52939984,58,71000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,   78661,52939984,58,75000000,0x0000
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,58,93000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,   78661,52939984,58,79000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,58,106000000,0x0000
000000000000001b,       1,26:07:6a:27:9e:1f,       3,   78661,52939984,58,100000000,0x0000
000000000000001b,       3,e2:e1:fb:07:8a:5f,       1,      13,     878,58,164000000,0x0000
000000000000001a,       1,26:07:6a:27:9e:1f,       2,   78661,52939984,58,103000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,58,157000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,   90572,60963546,68,26000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,68,53000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,   90572,60963546,68,18000000,0x0000
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,68,36000000,0x0000
000000000000000a,       1,26:07:6a:27:9e:1f,       2,   90572,60963546,68,19000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,68,64000000,0x0000
0000000000000003,       3,e2:e1:fb:07:8a:5f,       5,      13,     878,68,38000000,0x0000
0000000000000003,       5,26:07:6a:27:9e:1f,       3,   90572,60963546,68,33000000,0x0000
000000000000001b,       1,26:07:6a:27:9e:1f,       3,   90572,60963546,68,16000000,0x0000
000000000000001b,       3,e2:e1:fb:07:8a:5f,       1,      13,     878,68,80000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,   90572,60963546,68,22000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      13,     878,68,61000000,0x0000
000000000000001a,       1,26:07:6a:27:9e:1f,       2,   90572,60963546,68,19000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,68,73000000,0x0000
000000000000000a,       1,26:07:6a:27:9e:1f,       2,  105133,70765108,78,167000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,78,212000000,0x0000
