sep=,
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error,duration-sec,duration-nsec
000000000000000d,       1,      17,    4686,       0,       7,     420,       0,96,844000000
000000000000000d,       2,      15,    4566,       0,      10,     600,       0,96,869000000
000000000000000d,       3,      15,    4002,       0,       8,     480,       0,96,844000000
000000000000000d,fffffffe,       0,       0,       0,       0,       0,       0,96,846000000
0000000000000008,       1,      25,    4602,       0,       4,     240,       0,97,371000000
0000000000000008,       2,      17,    4968,       0,      11,     660,       0,97,369000000
0000000000000008,       3,      15,    4284,       0,      11,     660,       0,97,371000000
0000000000000008,fffffffe,       0,       0,       0,       0,       0,       0,97,239000000
0000000000000005,       1,      27,    5286,       0,       5,     300,       0,97,635000000
0000000000000005,       2,      22,    4422,       0,       3,     180,       0,97,652000000
0000000000000005,fffffffe,       0,       0,       0,       0,       0,       0,97,636000000
0000000000000001,       1,      17,    4122,       0,       7,     420,       0,97,916000000
0000000000000001,       2,      19,    3678,       0,       7,     420,       0,97,916000000
0000000000000001,fffffffe,       0,       0,       0,       0,       0,       0,97,883000000
0000000000000003,       1,      16,    4062,       0,      12,     720,       0,97,746000000
0000000000000003,       2,      26,    4944,       0,       7,     420,       0,97,746000000
0000000000000003,       3,      23,    5046,       0,       8,     480,       0,97,745000000
0000000000000003,       4,      20,    4302,       0,      13,     780,       0,97,745000000
0000000000000003,       5,       0,       0,       0,      14,     840,       0,97,745000000
0000000000000003,       6,       3,     126,       0,      14,     840,       0,97,745000000
0000000000000003,fffffffe,       0,       0,       0,       0,       0,       0,97,747000000
0000000000000006,       1,      18,    4182,       0,      14,     840,       0,97,604000000
0000000000000006,       2,      21,    4926,       0,      10,     600,       0,97,620000000
0000000000000006,       3,      14,    3660,       0,      14,     840,       0,97,621000000
0000000000000006,       4,      22,    4140,       0,       6,     360,       0,97,604000000
0000000000000006,fffffffe,       0,       0,       0,       0,       0,       0,97,620000000
000000000000000b,       1,      17,    3840,       0,      10,     600,       0,97,69000000
000000000000000b,       2,      27,    5568,       0,       9,     540,       0,97,62000000
000000000000000b,       3,      15,    3438,       0,      12,     720,       0,97,57000000
000000000000000b,fffffffe,       0,       0,       0,       0,       0,       0,97,18000000
0000000000000004,       1,      19,    4242,       0,      11,     942,       0,97,666000000
0000000000000004,       2,      23,    5046,       0,       7,     420,       0,97,690000000
0000000000000004,       3,      16,    4062,       0,      15,    1182,       0,97,666000000
0000000000000004,fffffffe,       0,       0,       0,       1,     342,       0,97,667000000
000000000000000e,       1,      19,    4242,       0,       4,     240,       0,96,783000000
000000000000000e,       2,      14,    3378,       0,       5,     300,       0,96,782000000
000000000000000e,fffffffe,       0,       0,       0,       0,       0,       0,96,760000000
000000000000000a,       1,      17,    4122,       0,      12,     720,       0,97,159000000
000000000000000a,       2,      18,    4464,       0,       6,     360,       0,97,159000000
000000000000000a,       3,      15,    3720,       0,      11,     660,       0,97,158000000
000000000000000a,fffffffe,       0,       0,       0,       0,       0,       0,97,92000000
000000000000000c,       1,      22,    4140,       0,       6,     360,       0,96,923000000
000000000000000c,       2,      17,    3840,       0,       4,     240,       0,96,922000000
000000000000000c,fffffffe,       0,       0,       0,       0,       0,       0,96,902000000
0000000000000002,       1,      20,    4866,       0,       6,     360,       0,97,802000000
0000000000000002,       2,      23,    4482,       0,       5,     300,       0,97,801000000
0000000000000002,fffffffe,       0,       0,       0,       0,       0,       0,97,775000000
000000000000000f,       1,      15,    3720,       0,       5,     300,       0,96,730000000
000000000000000f,fffffffe,       0,       0,       0,       0,       0,       0,96,707000000
0000000000000007,       1,      19,    4524,       0,      10,     600,       0,97,412000000
0000000000000007,       2,      21,    4362,       0,       8,     480,       0,97,411000000
0000000000000007,       3,      14,    3942,       0,      10,     600,       0,97,578000000
0000000000000007,       4,      15,    3720,       0,       5,     300,       0,97,416000000
0000000000000007,       5,      14,    4506,       0,      11,     660,       0,97,577000000
0000000000000007,fffffffe,       0,       0,       0,       0,       0,       0,97,418000000
0000000000000009,       1,      23,    4764,       0,       3,     180,       0,97,216000000
0000000000000009,       2,      15,    3720,       0,       6,     360,       0,97,217000000
0000000000000009,fffffffe,       0,       0,       0,       0,       0,       0,97,187000000
000000000000001b,       1,      12,    3540,       0,       7,     420,       0,95,350000000
000000000000001b,       2,      18,    4182,       0,       1,      60,       0,95,351000000
000000000000001b,       3,       0,       0,       0,       7,     420,       0,95,364000000
000000000000001b,fffffffe,       0,       0,       0,       0,       0,       0,95,364000000
0000000000000019,       1,      18,    3618,       0,       2,     120,       0,95,433000000
0000000000000019,       2,      22,    4422,       0,       5,     300,       0,95,482000000
0000000000000019,fffffffe,       0,       0,       0,       0,       0,       0,95,434000000
0000000000000015,       1,      18,    4464,       0,       5,     300,       0,96,213000000
0000000000000015,       2,      11,    3480,       0,       9,     540,       0,96,169000000
0000000000000015,fffffffe,       0,       0,       0,       0,       0,       0,96,171000000
0000000000000018,       1,      19,    4524,       0,       2,     120,       0,95,835000000
0000000000000018,       2,      12,    3540,       0,       9,     540,       0,95,827000000
0000000000000018,fffffffe,       0,       0,       0,       0,       0,       0,95,663000000
0000000000000017,       1,      13,    3882,       0,       7,     420,       0,96,63000000
0000000000000017,       2,      18,    4182,       0,       1,      60,       0,95,890000000
0000000000000017,fffffffe,       0,       0,       0,       0,       0,       0,95,895000000
0000000000000010,       1,      20,    4020,       0,       2,     120,       0,96,667000000
0000000000000010,       2,      12,    3822,       0,       7,     420,       0,96,689000000
0000000000000010,fffffffe,       0,       0,       0,       0,       0,       0,96,669000000
000000000000001c,       1,      12,    3822,       0,       7,     420,       0,95,304000000
000000000000001c,       2,      13,    4164,       0,       7,     420,       0,95,304000000
000000000000001c,fffffffe,       0,       0,       0,       0,       0,       0,95,322000000
0000000000000013,       1,      15,    3720,       0,       5,     300,       0,96,512000000
0000000000000013,fffffffe,       0,       0,       0,       0,       0,       0,96,488000000
0000000000000016,       1,      20,    4302,       0,       1,      60,       0,96,131000000
0000000000000016,fffffffe,       0,       0,       0,       0,       0,       0,96,107000000
0000000000000011,       1,      18,    4182,       0,       1,      60,       0,96,625000000
0000000000000011,fffffffe,       0,       0,       0,       0,       0,       0,96,627000000
0000000000000014,       1,      21,    4080,       0,       1,      60,       0,96,392000000
0000000000000014,fffffffe,       0,       0,       0,       0,       0,       0,96,248000000
000000000000001a,       1,      18,    4464,       0,       6,     360,       0,95,414000000
000000000000001a,       2,      19,    4524,       0,       2,     120,       0,95,416000000
000000000000001a,fffffffe,       0,       0,       0,       0,       0,       0,95,397000000
000000000000001d,       1,      17,    3840,       0,       1,      60,       0,95,279000000
000000000000001d,       2,      11,    3480,       0,       7,     420,       0,95,258000000
000000000000001d,fffffffe,       0,       0,       0,       0,       0,       0,95,261000000
0000000000000012,       1,      20,    4020,       0,       3,     180,       0,96,607000000
0000000000000012,fffffffe,       0,       0,       0,       0,       0,       0,96,566000000
0000000000000001,       1,      24,    5106,       0,       7,     420,       0,107,926000000
0000000000000001,       2,      25,    4320,       0,       7,     420,       0,107,926000000
0000000000000001,fffffffe,       0,       0,       0,       0,       0,       0,107,893000000
0000000000000002,       1,      22,    5550,       0,      11,     660,       0,107,812000000
0000000000000002,       2,      30,    5466,       0,       5,     300,       0,107,811000000
0000000000000002,fffffffe,       0,       0,       0,       0,       0,       0,107,785000000
0000000000000011,       1,      23,    4482,       0,       1,      60,       0,106,633000000
0000000000000011,fffffffe,       0,       0,       0,       0,       0,       0,106,635000000
000000000000000f,       1,      21,    4362,       0,       5,     300,       0,106,743000000
000000000000000f,fffffffe,       0,       0,       0,       0,       0,       0,106,720000000
0000000000000010,       1,      26,    4662,       0,       2,     120,       0,106,675000000
0000000000000010,       2,      12,    3822,       0,      12,     720,       0,106,697000000
0000000000000010,fffffffe,       0,       0,       0,       0,       0,       0,106,677000000
0000000000000004,       1,      25,    4884,       0,      11,     942,       0,107,679000000
0000000000000004,       2,      30,    6030,       0,       7,     420,       0,107,703000000
0000000000000004,       3,      17,    4404,       0,      20,    1482,       0,107,679000000
0000000000000004,fffffffe,       0,       0,       0,       1,     342,       0,107,680000000
0000000000000005,       1,      34,    6270,       0,       5,     300,       0,107,648000000
0000000000000005,       2,      29,    5406,       0,       3,     180,       0,107,665000000
0000000000000005,fffffffe,       0,       0,       0,       0,       0,       0,107,649000000
000000000000000d,       1,      22,    4986,       0,       7,     420,       0,106,857000000
000000000000000d,       2,      15,    4566,       0,      15,     900,       0,106,882000000
000000000000000d,       3,      15,    4002,       0,      13,     780,       0,106,857000000
000000000000000d,fffffffe,       0,       0,       0,       0,       0,       0,106,859000000
0000000000000018,       1,      24,    4824,       0,       2,     120,       0,105,843000000
0000000000000018,       2,      12,    3540,       0,      14,     840,       0,105,835000000
0000000000000018,fffffffe,       0,       0,       0,       0,       0,       0,105,671000000
000000000000000b,       1,      18,    4182,       0,      15,     900,       0,107,82000000
000000000000000b,       2,      32,    5868,       0,       9,     540,       0,107,75000000
000000000000000b,       3,      16,    3780,       0,      17,    1020,       0,107,70000000
000000000000000b,fffffffe,       0,       0,       0,       0,       0,       0,107,31000000
000000000000001d,       1,      22,    4140,       0,       1,      60,       0,105,287000000
000000000000001d,       2,      12,    3822,       0,      12,     720,       0,105,266000000
