datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error,duration-sec,duration-nsec
0000000000000001,       1,      49,   15630,       0,       4,     240,       0,840,302000000
0000000000000001,       2,      53,   16434,       0,       5,     300,       0,840,193000000
0000000000000001,fffffffe,       0,       0,       0,       0,       0,       0,840,194000000
0000000000000002,       1,      50,   15972,       0,       4,     240,       0,840,180000000
0000000000000002,       2,      57,   16110,       0,       5,     300,       0,840,158000000
0000000000000002,fffffffe,       0,       0,       0,       0,       0,       0,840,159000000
0000000000000017,       1,      54,   16212,       0,       1,      60,       0,838,139000000
0000000000000017,       2,      52,   15810,       0,      13,     780,       0,838,138000000
0000000000000017,fffffffe,       0,       0,       0,       0,       0,       0,838,142000000
0000000000000012,       1,      53,   15870,       0,       1,      60,       0,838,915000000
0000000000000012,fffffffe,       0,       0,       0,       0,       0,       0,838,877000000
000000000000000f,       1,      55,   16272,       0,       1,      60,       0,839,288000000
000000000000000f,fffffffe,       0,       0,       0,       0,       0,       0,839,262000000
0000000000000004,       1,      46,   14886,       0,       9,     540,       0,839,763000000
0000000000000004,       2,      56,   16614,       0,       1,      60,       0,839,996000000
0000000000000004,       3,      48,   15852,       0,       9,     540,       0,839,764000000
0000000000000004,fffffffe,       0,       0,       0,       0,       0,       0,839,765000000
0000000000000009,       1,      49,   15066,       0,       4,     240,       0,839,570000000
0000000000000009,       2,      50,   16536,       0,       6,     360,       0,839,570000000
0000000000000009,fffffffe,       0,       0,       0,       0,       0,       0,839,555000000
000000000000000e,       1,      50,   15126,       0,       3,     180,       0,839,341000000
000000000000000e,       2,      48,   16134,       0,       9,     540,       0,839,341000000
000000000000000e,fffffffe,       0,       0,       0,       0,       0,       0,839,324000000
000000000000000d,       1,      51,   15186,       0,       4,     240,       0,839,361000000
000000000000000d,       2,      49,   15348,       0,       6,     360,       0,839,381000000
000000000000000d,       3,      50,   16254,       0,       7,     420,       0,839,362000000
000000000000000d,fffffffe,       0,       0,       0,       0,       0,       0,839,363000000
0000000000000019,       1,      48,   15288,       0,       6,     360,       0,837,763000000
0000000000000019,       2,      55,   16272,       0,       2,     120,       0,837,763000000
0000000000000019,fffffffe,       0,       0,       0,       0,       0,       0,837,633000000
000000000000000c,       1,      53,   15588,       0,       5,     300,       0,839,429000000
000000000000000c,       2,      45,   14262,       0,       8,     480,       0,839,429000000
000000000000000c,fffffffe,       0,       0,       0,       0,       0,       0,839,406000000
0000000000000003,       1,      52,   16374,       0,      12,     720,       0,840,12000000
0000000000000003,       2,      54,   15084,       0,       9,     540,       0,840,14000000
0000000000000003,       3,      52,   15246,       0,       3,     180,       0,840,13000000
0000000000000003,       4,      52,   15528,       0,      13,     780,       0,840,12000000
0000000000000003,       5,       0,       0,       0,      14,     840,       0,840,12000000
0000000000000003,       6,       0,       0,       0,      14,     840,       0,840,12000000
0000000000000003,fffffffe,       0,       0,       0,       0,       0,       0,840,15000000
0000000000000008,       1,      59,   16794,       0,       6,     360,       0,839,603000000
0000000000000008,       2,      51,   16032,       0,       9,     540,       0,839,603000000
0000000000000008,       3,      48,   15288,       0,       6,     360,       0,839,602000000
0000000000000008,fffffffe,       0,       0,       0,       0,       0,       0,839,583000000
0000000000000011,       1,      49,   15630,       0,       4,     240,       0,839,2000000
0000000000000011,fffffffe,       0,       0,       0,       0,       0,       0,839,5000000
0000000000000013,       1,      53,   15588,       0,       1,      60,       0,838,813000000
0000000000000013,fffffffe,       0,       0,       0,       0,       0,       0,838,773000000
000000000000001c,       1,      46,   14040,       0,       3,     180,       0,836,7000000
000000000000001c,       2,      44,   14202,       0,       9,     540,       0,836,37000000
000000000000001c,fffffffe,       0,       0,       0,       0,       0,       0,836,11000000
0000000000000010,       1,      48,   14724,       0,       5,     300,       0,839,114000000
0000000000000010,       2,      52,   16656,       0,       4,     240,       0,839,146000000
0000000000000010,fffffffe,       0,       0,       0,       0,       0,       0,839,118000000
000000000000001a,       1,      48,   13878,       0,       1,      60,       0,837,392000000
000000000000001a,       2,      49,   16194,       0,       8,     480,       0,837,397000000
000000000000001a,fffffffe,       0,       0,       0,       0,       0,       0,836,170000000
000000000000001b,       1,      51,   15186,       0,       2,     120,       0,836,78000000
000000000000001b,       2,      47,   15228,       0,       6,     360,       0,836,94000000
000000000000001b,       3,       0,       0,       0,       7,     420,       0,836,95000000
000000000000001b,fffffffe,       0,       0,       0,       0,       0,       0,836,81000000
0000000000000006,       1,      55,   16272,       0,      12,     720,       0,839,718000000
0000000000000006,       2,      59,   17640,       0,       1,      60,       0,839,719000000
