datapath,in-port,eth-dst,out-port,packets,bytes,duration-sec,duration-nsec,flags,vlan
0000000000000003,       1,1a:d9:eb:06:76:99,       2,   12782, 8588430,8,628000000,0x0000,1
0000000000000003,       2,7e:ba:50:68:c8:ee,       1,      11,     770,8,648000000,0x0000,0
0000000000000006,       1,1a:d9:eb:06:76:99,       4,   12782, 8588430,8,622000000,0x0000,1
0000000000000006,       4,7e:ba:50:68:c8:ee,       1,      11,     770,8,657000000,0x0000,0
0000000000000002,       2,7e:ba:50:68:c8:ee,       3,      11,     770,8,641000000,0x0000,0
0000000000000002,       3,1a:d9:eb:06:76:99,       2,   12782, 8588430,8,635000000,0x0000,1
000000000000001a,       1,1a:d9:eb:06:76:99,       2,   12782, 8588430,8,599000000,0x0000,1
000000000000001a,       2,7e:ba:50:68:c8:ee,       1,      11,     770,8,668000000,0x0000,0
000000000000000a,       1,1a:d9:eb:06:76:99,       2,   12782, 8588430,8,614000000,0x0000,1
000000000000000a,       2,7e:ba:50:68:c8:ee,       1,      11,     770,8,662000000,0x0000,0
0000000000000027,       1,1a:d9:eb:06:76:99,       3,   12782, 8588430,8,588000000,0x0000,1
0000000000000027,       3,7e:ba:50:68:c8:ee,       1,      11,     770,8,674000000,0x0000,0
0000000000000002,       2,7e:ba:50:68:c8:ee,       3,      11,     770,18,677000000,0x0000,0
0000000000000002,       3,1a:d9:eb:06:76:99,       2,   31705,21337096,18,671000000,0x0000,1
0000000000000006,       1,1a:d9:eb:06:76:99,       4,   31713,21337688,18,665000000,0x0000,1
0000000000000006,       4,7e:ba:50:68:c8:ee,       1,      11,     770,18,700000000,0x0000,0
0000000000000006,       4,8a:91:5e:64:27:03,       1,       0,       0,0,506000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,   31713,21337688,18,639000000,0x0000,1
000000000000001a,       2,7e:ba:50:68:c8:ee,       1,      11,     770,18,708000000,0x0000,0
000000000000001a,       2,8a:91:5e:64:27:03,       1,       0,       0,0,517000000,0x0000,0
000000000000000a,       1,1a:d9:eb:06:76:99,       2,   31713,21337688,18,654000000,0x0000,1
000000000000000a,       2,7e:ba:50:68:c8:ee,       1,      11,     770,18,702000000,0x0000,0
000000000000000a,       2,8a:91:5e:64:27:03,       1,       0,       0,0,510000000,0x0000,0
0000000000000027,       1,1a:d9:eb:06:76:99,       3,   31713,21337688,18,628000000,0x0000,1
0000000000000027,       3,7e:ba:50:68:c8:ee,       1,      11,     770,18,714000000,0x0000,0
0000000000000027,       3,8a:91:5e:64:27:03,       1,       0,       0,0,535000000,0x0000,0
0000000000000002,       2,7e:ba:50:68:c8:ee,       3,      11,     770,28,925000000,0x0000,0
0000000000000002,       3,1a:d9:eb:06:76:99,       2,   45718,30767942,28,919000000,0x0000,1
0000000000000006,       1,1a:d9:eb:06:76:99,       4,  198272,42056938,28,910000000,0x0000,1
0000000000000006,       4,7e:ba:50:68:c8:ee,       1,      11,     770,28,945000000,0x0000,0
0000000000000006,       4,8a:91:5e:64:27:03,       1,       0,       0,10,751000000,0x0000,0
000000000000000a,       1,1a:d9:eb:06:76:99,       2,  198272,42056938,28,898000000,0x0000,1
000000000000000a,       2,7e:ba:50:68:c8:ee,       1,      11,     770,28,946000000,0x0000,0
000000000000000a,       2,8a:91:5e:64:27:03,       1,       0,       0,10,754000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,  198272,42056938,28,900000000,0x0000,1
000000000000001a,       2,7e:ba:50:68:c8:ee,       1,      11,     770,28,969000000,0x0000,0
000000000000001a,       2,8a:91:5e:64:27:03,       1,       0,       0,10,778000000,0x0000,0
0000000000000002,       2,1a:d9:eb:06:76:99,       2,      48,    3552,2,677000000,0x0000,0
0000000000000002,       2,7e:ba:50:68:c8:ee,       3,      11,     770,39,38000000,0x0000,0
0000000000000002,       3,1a:d9:eb:06:76:99,       2,   56527,38045320,39,32000000,0x0000,1
000000000000000a,       1,1a:d9:eb:06:76:99,       2,  271237,50858756,39,21000000,0x0000,1
000000000000000a,       2,7e:ba:50:68:c8:ee,       1,      11,     770,39,69000000,0x0000,0
000000000000000a,       2,8a:91:5e:64:27:03,       1,       0,       0,20,877000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,  271237,50858756,39,12000000,0x0000,1
000000000000001a,       2,7e:ba:50:68:c8:ee,       1,      11,     770,39,81000000,0x0000,0
000000000000001a,       2,8a:91:5e:64:27:03,       1,       0,       0,20,890000000,0x0000,0
0000000000000027,       1,1a:d9:eb:06:76:99,       3,  198272,42056938,28,886000000,0x0000,1
0000000000000027,       3,7e:ba:50:68:c8:ee,       1,      11,     770,28,972000000,0x0000,0
0000000000000027,       3,8a:91:5e:64:27:03,       1,       0,       0,10,793000000,0x0000,0
0000000000000006,       1,1a:d9:eb:06:76:99,       4,      41,    3034,0,122000000,0x0000,0
0000000000000027,       1,1a:d9:eb:06:76:99,       3,  271237,50858756,39,4000000,0x0000,1
