datapath,in-port,eth-dst,out-port,packets,bytes,duration-sec,duration-nsec,flags,vlan
000000000000000a,       1,46:fe:e1:49:87:f8,       2,     135,   67488,4,230000000,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,      11,     770,4,261000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,     135,   67488,4,236000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      11,     770,4,280000000,0x0000,0
0000000000000027,       1,46:fe:e1:49:87:f8,       3,     135,   67488,4,223000000,0x0000,1
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,      11,     770,4,283000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,     396,  236958,14,299000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      11,     770,14,343000000,0x0000,0
000000000000000a,       1,46:fe:e1:49:87:f8,       2,     396,  236958,14,292000000,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,      11,     770,14,323000000,0x0000,0
0000000000000027,       1,46:fe:e1:49:87:f8,       3,     396,  236958,14,289000000,0x0000,1
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,      11,     770,14,349000000,0x0000,0
0000000000000027,       1,46:fe:e1:49:87:f8,       3,     812,  491410,24,279000000,0x0000,1
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,      11,     770,24,339000000,0x0000,0
000000000000000a,       1,46:fe:e1:49:87:f8,       2,     812,  491410,24,291000000,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,      11,     770,24,322000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,     812,  491410,24,288000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      11,     770,24,332000000,0x0000,0
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    1389,  859188,34,300000000,0x0000,1
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,      11,     770,34,360000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    1389,  859188,34,311000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      11,     770,34,355000000,0x0000,0
000000000000000a,       1,46:fe:e1:49:87:f8,       2,    1389,  859188,34,313000000,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,      11,     770,34,344000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    1950, 1205262,44,414000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      11,     770,44,458000000,0x0000,0
000000000000000a,       1,46:fe:e1:49:87:f8,       2,    1950, 1205262,44,414000000,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,      11,     770,44,445000000,0x0000,0
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    1950, 1205262,44,398000000,0x0000,1
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,      11,     770,44,458000000,0x0000,0
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    2431, 1507976,54,444000000,0x0000,1
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,      11,     770,54,504000000,0x0000,0
000000000000000a,       1,46:fe:e1:49:87:f8,       2,    2431, 1507976,54,459000000,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,      11,     770,54,490000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    2431, 1507976,54,463000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      11,     770,54,507000000,0x0000,0
000000000000000a,       1,46:fe:e1:49:87:f8,       2,    2981, 1862092,64,478000000,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,      11,     770,64,509000000,0x0000,0
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    2981, 1862092,64,465000000,0x0000,1
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,      11,     770,64,525000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    2981, 1862092,64,477000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      11,     770,64,521000000,0x0000,0
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    3603, 2242200,74,502000000,0x0000,1
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,      11,     770,74,562000000,0x0000,0
000000000000000a,       1,46:fe:e1:49:87:f8,       2,    3603, 2242200,74,519000000,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,      11,     770,74,550000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    3603, 2242200,74,518000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      11,     770,74,562000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    4108, 2561618,84,564000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      11,     770,84,608000000,0x0000,0
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    4108, 2561618,84,555000000,0x0000,1
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,      11,     770,84,615000000,0x0000,0
000000000000000a,       1,46:fe:e1:49:87:f8,       2,    4108, 2561618,84,564000000,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,      11,     770,84,595000000,0x0000,0
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    4635, 2896656,94,542000000,0x0000,1
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,      11,     770,94,602000000,0x0000,0
000000000000000a,       1,46:fe:e1:49:87:f8,       2,    4635, 2896656,94,554000000,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,      11,     770,94,585000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    4635, 2896656,94,552000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      11,     770,94,596000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    5302, 3314186,104,592000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      17,    1172,104,636000000,0x0000,0
0000000000000006,       1,46:fe:e1:49:87:f8,       4,     447,  278646,1,936000000,0x0000,1
0000000000000006,       4,fa:8f:99:2c:69:cd,       1,       5,     335,2,334000000,0x0000,0
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    5302, 3314186,104,645000000,0x0000,1
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,      17,    1172,104,705000000,0x0000,0
000000000000000a,       1,46:fe:e1:49:87:f8,       2,    5302, 3314186,104,644000000,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,      17,    1172,104,675000000,0x0000,0
0000000000000003,       1,46:fe:e1:49:87:f8,       2,     479,  297742,0,35000000,0x0000,1
0000000000000003,       2,fa:8f:99:2c:69:cd,       1,       4,     268,0,271000000,0x0000,0
0000000000000003,       1,46:fe:e1:49:87:f8,       2,     971,  606418,8,176000000,0x0000,1
0000000000000003,       2,fa:8f:99:2c:69:cd,       1,       8,     461,8,663000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    5967, 3730632,114,574000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      21,    1365,114,618000000,0x0000,0
0000000000000006,       1,46:fe:e1:49:87:f8,       4,    1112,  695092,11,864000000,0x0000,1
0000000000000006,       4,fa:8f:99:2c:69:cd,       1,       9,     528,12,262000000,0x0000,0
000000000000000a,       1,46:fe:e1:49:87:f8,       2,    5967, 3730632,114,577000000,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,      21,    1365,114,608000000,0x0000,0
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    5967, 3730632,114,565000000,0x0000,1
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,      21,    1365,114,625000000,0x0000,0
000000000000000a,       1,46:fe:e1:49:87:f8,       2,    5967, 3730632,124,578000000,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,      21,    1365,124,609000000,0x0000,0
0000000000000006,       1,46:fe:e1:49:87:f8,       4,    1112,  695092,21,865000000,0x0000,1
0000000000000006,       4,fa:8f:99:2c:69:cd,       1,       9,     528,22,263000000,0x0000,0
0000000000000003,       1,46:fe:e1:49:87:f8,       2,     971,  606418,18,179000000,0x0000,1
0000000000000003,       2,fa:8f:99:2c:69:cd,       1,       8,     461,18,666000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    5967, 3730632,124,579000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      21,    1365,124,623000000,0x0000,0
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    5967, 3730632,124,570000000,0x0000,1
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,      21,    1365,124,630000000,0x0000,0
0000000000000003,       1,46:fe:e1:49:87:f8,       2,     971,  606418,28,179000000,0x0000,1
