datapath;in-port;eth-dst;out-port;packets;bytes
000000000000001b;1;de:f5:ad:55:e8:54;3;8;825
000000000000001b;3;0e:9b:90:6e:a3:53;1;7;493
3;2;0e:9b:90:6e:a3:53;5;7;493
3;5;de:f5:ad:55:e8:54;2;8;825
000000000000000a;1;de:f5:ad:55:e8:54;2;8;825
000000000000000a;2;0e:9b:90:6e:a3:53;1;7;493
000000000000001a;1;de:f5:ad:55:e8:54;2;8;825
000000000000001a;2;0e:9b:90:6e:a3:53;1;7;493
6;1;de:f5:ad:55:e8:54;4;8;825
6;4;0e:9b:90:6e:a3:53;1;7;493
3;2;0e:9b:90:6e:a3:53;5;8;535
3;5;de:f5:ad:55:e8:54;2;9;867
000000000000000a;1;de:f5:ad:55:e8:54;2;9;867
000000000000000a;2;0e:9b:90:6e:a3:53;1;8;535
6;1;de:f5:ad:55:e8:54;4;9;867
6;4;0e:9b:90:6e:a3:53;1;8;535
000000000000001a;1;de:f5:ad:55:e8:54;2;9;867
000000000000001a;2;0e:9b:90:6e:a3:53;1;8;535
000000000000001b;1;de:f5:ad:55:e8:54;3;9;867
000000000000001b;3;0e:9b:90:6e:a3:53;1;8;535
3;2;0e:9b:90:6e:a3:53;5;17;1453
3;5;de:f5:ad:55:e8:54;2;241952;17904649
6;1;de:f5:ad:55:e8:54;4;241952;17904649
6;4;0e:9b:90:6e:a3:53;1;17;1453
000000000000000a;1;de:f5:ad:55:e8:54;2;241952;17904649
000000000000000a;2;0e:9b:90:6e:a3:53;1;17;1453
000000000000001a;1;de:f5:ad:55:e8:54;2;241952;17904649
000000000000001a;2;0e:9b:90:6e:a3:53;1;17;1453
000000000000001b;1;de:f5:ad:55:e8:54;3;241952;17904649
000000000000001b;3;0e:9b:90:6e:a3:53;1;17;1453
3;2;0e:9b:90:6e:a3:53;5;27;2473
3;5;de:f5:ad:55:e8:54;2;874855;64739471
000000000000001a;1;de:f5:ad:55:e8:54;2;874855;64739471
000000000000001a;2;0e:9b:90:6e:a3:53;1;27;2473
6;1;de:f5:ad:55:e8:54;4;874855;64739471
6;4;0e:9b:90:6e:a3:53;1;27;2473
000000000000000a;1;de:f5:ad:55:e8:54;2;874855;64739471
000000000000000a;2;0e:9b:90:6e:a3:53;1;27;2473
000000000000001b;1;de:f5:ad:55:e8:54;3;874855;64739471
000000000000001b;3;0e:9b:90:6e:a3:53;1;27;2473
000000000000001b;1;de:f5:ad:55:e8:54;3;1519706;112458413
000000000000001b;3;0e:9b:90:6e:a3:53;1;38;3535
6;1;de:f5:ad:55:e8:54;4;1519706;112458413
6;4;0e:9b:90:6e:a3:53;1;38;3535
3;2;0e:9b:90:6e:a3:53;5;38;3535
3;5;de:f5:ad:55:e8:54;2;1519706;112458413
000000000000000a;1;de:f5:ad:55:e8:54;2;1519706;112458413
000000000000000a;2;0e:9b:90:6e:a3:53;1;38;3535
000000000000001a;1;de:f5:ad:55:e8:54;2;1519706;112458413
000000000000001a;2;0e:9b:90:6e:a3:53;1;38;3535
3;2;0e:9b:90:6e:a3:53;5;49;4597
3;5;de:f5:ad:55:e8:54;2;2157215;159634047
000000000000001a;1;de:f5:ad:55:e8:54;2;2157215;159634047
000000000000001a;2;0e:9b:90:6e:a3:53;1;49;4597
000000000000000a;1;de:f5:ad:55:e8:54;2;2157215;159634047
000000000000000a;2;0e:9b:90:6e:a3:53;1;49;4597
000000000000001b;1;de:f5:ad:55:e8:54;3;2157215;159634047
000000000000001b;3;0e:9b:90:6e:a3:53;1;49;4597
6;1;de:f5:ad:55:e8:54;4;2157215;159634047
6;4;0e:9b:90:6e:a3:53;1;49;4597
000000000000001a;1;de:f5:ad:55:e8:54;2;2790116;206468721
000000000000001a;2;0e:9b:90:6e:a3:53;1;59;5617
000000000000001b;1;de:f5:ad:55:e8:54;3;2790116;206468721
000000000000001b;3;0e:9b:90:6e:a3:53;1;59;5617
3;2;0e:9b:90:6e:a3:53;5;59;5617
3;5;de:f5:ad:55:e8:54;2;2790116;206468721
6;1;de:f5:ad:55:e8:54;4;2790116;206468721
6;4;0e:9b:90:6e:a3:53;1;59;5617
000000000000000a;1;de:f5:ad:55:e8:54;2;2790116;206468721
000000000000000a;2;0e:9b:90:6e:a3:53;1;59;5617
000000000000001b;1;de:f5:ad:55:e8:54;3;3426471;253558991
000000000000001b;3;0e:9b:90:6e:a3:53;1;69;6637
000000000000001a;1;de:f5:ad:55:e8:54;2;3426471;253558991
000000000000001a;2;0e:9b:90:6e:a3:53;1;69;6637
3;2;0e:9b:90:6e:a3:53;5;69;6637
3;5;de:f5:ad:55:e8:54;2;3426471;253558991
6;1;de:f5:ad:55:e8:54;4;3426471;253558991
6;4;0e:9b:90:6e:a3:53;1;69;6637
000000000000000a;1;de:f5:ad:55:e8:54;2;3426471;253558991
000000000000000a;2;0e:9b:90:6e:a3:53;1;69;6637
000000000000001b;1;de:f5:ad:55:e8:54;3;4076008;301624697
000000000000001b;3;0e:9b:90:6e:a3:53;1;80;7699
3;2;0e:9b:90:6e:a3:53;5;80;7699
3;5;de:f5:ad:55:e8:54;2;4076008;301624697
000000000000000a;1;de:f5:ad:55:e8:54;2;4076008;301624697
000000000000000a;2;0e:9b:90:6e:a3:53;1;80;7699
000000000000001a;1;de:f5:ad:55:e8:54;2;4076008;301624697
000000000000001a;2;0e:9b:90:6e:a3:53;1;80;7699
6;1;de:f5:ad:55:e8:54;4;4076008;301624697
6;4;0e:9b:90:6e:a3:53;1;80;7699
6;1;de:f5:ad:55:e8:54;4;4717920;349126185
6;4;0e:9b:90:6e:a3:53;1;90;8719
000000000000000a;1;de:f5:ad:55:e8:54;2;4717920;349126185
000000000000000a;2;0e:9b:90:6e:a3:53;1;90;8719
000000000000001b;1;de:f5:ad:55:e8:54;3;4717920;349126185
000000000000001b;3;0e:9b:90:6e:a3:53;1;90;8719
000000000000001a;1;de:f5:ad:55:e8:54;2;4717920;349126185
000000000000001a;2;0e:9b:90:6e:a3:53;1;90;8719
3;2;0e:9b:90:6e:a3:53;5;90;8719
3;5;de:f5:ad:55:e8:54;2;4717920;349126185
000000000000000a;1;de:f5:ad:55:e8:54;2;5347520;395716553
000000000000000a;2;0e:9b:90:6e:a3:53;1;101;9781
3;2;0e:9b:90:6e:a3:53;5;101;9781
3;5;de:f5:ad:55:e8:54;2;5347520;395716553
6;1;de:f5:ad:55:e8:54;4;5347520;395716553
6;4;0e:9b:90:6e:a3:53;1;101;9781
000000000000001a;1;de:f5:ad:55:e8:54;2;5347520;395716553
000000000000001a;2;0e:9b:90:6e:a3:53;1;101;9781
