datapath;in-port;eth-dst;out-port;packets;bytes
3;2;ee:29:2d:8f:5f:f2;5;103;7161
3;5;16:63:eb:d2:47:6f;2;7977;4265591
6;1;16:63:eb:d2:47:6f;4;7977;4265591
6;4;ee:29:2d:8f:5f:f2;1;103;7161
000000000000000a;1;16:63:eb:d2:47:6f;2;7977;4265591
000000000000000a;2;ee:29:2d:8f:5f:f2;1;103;7161
000000000000001b;1;16:63:eb:d2:47:6f;3;7977;4265591
000000000000001b;3;ee:29:2d:8f:5f:f2;1;103;7161
000000000000001a;1;16:63:eb:d2:47:6f;2;7977;4265591
000000000000001a;2;ee:29:2d:8f:5f:f2;1;103;7161
6;4;ae:56:39:e0:e1:96;1;0;0
000000000000000a;2;ae:56:39:e0:e1:96;1;0;0
3;2;ae:56:39:e0:e1:96;5;0;0
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;17961;9731363
000000000000001b;3;ae:56:39:e0:e1:96;1;6;419
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;17961;9731363
000000000000001a;2;ae:56:39:e0:e1:96;1;6;419
6;1;f2:a9:ce:7a:1c:b9;4;17961;9731363
6;4;ae:56:39:e0:e1:96;1;7;493
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;17961;9731363
000000000000000a;2;ae:56:39:e0:e1:96;1;7;493
3;2;ae:56:39:e0:e1:96;5;7;493
3;5;f2:a9:ce:7a:1c:b9;2;17961;9731363
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;43490;23568081
000000000000000a;2;ae:56:39:e0:e1:96;1;7;493
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;43490;23568081
000000000000001b;3;ae:56:39:e0:e1:96;1;6;419
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;43490;23568081
000000000000001a;2;ae:56:39:e0:e1:96;1;6;419
3;2;ae:56:39:e0:e1:96;5;7;493
3;5;f2:a9:ce:7a:1c:b9;2;43490;23568081
6;1;f2:a9:ce:7a:1c:b9;4;43490;23568081
6;4;ae:56:39:e0:e1:96;1;7;493
6;1;f2:a9:ce:7a:1c:b9;4;68909;37345179
6;4;ae:56:39:e0:e1:96;1;7;493
3;2;ae:56:39:e0:e1:96;5;7;493
3;5;f2:a9:ce:7a:1c:b9;2;68909;37345179
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;68909;37345179
000000000000000a;2;ae:56:39:e0:e1:96;1;7;493
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;68909;37345179
000000000000001a;2;ae:56:39:e0:e1:96;1;6;419
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;68909;37345179
000000000000001b;3;ae:56:39:e0:e1:96;1;6;419
3;2;ae:56:39:e0:e1:96;5;7;493
3;5;f2:a9:ce:7a:1c:b9;2;94472;51200325
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;94472;51200325
000000000000000a;2;ae:56:39:e0:e1:96;1;7;493
6;1;f2:a9:ce:7a:1c:b9;4;94472;51200325
6;4;ae:56:39:e0:e1:96;1;7;493
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;94472;51200325
000000000000001b;3;ae:56:39:e0:e1:96;1;6;419
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;94472;51200325
000000000000001a;2;ae:56:39:e0:e1:96;1;6;419
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;119765;64909131
000000000000001b;3;ae:56:39:e0:e1:96;1;6;419
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;119765;64909131
000000000000000a;2;ae:56:39:e0:e1:96;1;7;493
3;2;ae:56:39:e0:e1:96;5;7;493
3;5;f2:a9:ce:7a:1c:b9;2;119765;64909131
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;119765;64909131
000000000000001a;2;ae:56:39:e0:e1:96;1;6;419
6;1;f2:a9:ce:7a:1c:b9;4;119765;64909131
6;4;ae:56:39:e0:e1:96;1;7;493
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;144974;78571909
000000000000000a;2;ae:56:39:e0:e1:96;1;8;535
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;144974;78571909
000000000000001b;3;ae:56:39:e0:e1:96;1;7;461
6;1;f2:a9:ce:7a:1c:b9;4;144974;78571909
6;4;ae:56:39:e0:e1:96;1;8;535
3;2;ae:56:39:e0:e1:96;5;8;535
3;5;f2:a9:ce:7a:1c:b9;2;144974;78571909
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;144974;78571909
000000000000001a;2;ae:56:39:e0:e1:96;1;7;461
6;1;f2:a9:ce:7a:1c:b9;4;170462;92386405
6;4;ae:56:39:e0:e1:96;1;8;535
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;170462;92386405
000000000000001b;3;ae:56:39:e0:e1:96;1;7;461
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;170462;92386405
000000000000001a;2;ae:56:39:e0:e1:96;1;7;461
3;2;ae:56:39:e0:e1:96;5;8;535
3;5;f2:a9:ce:7a:1c:b9;2;170462;92386405
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;170462;92386405
000000000000000a;2;ae:56:39:e0:e1:96;1;8;535
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;195982;106218245
000000000000001b;3;ae:56:39:e0:e1:96;1;7;461
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;195982;106218245
000000000000001a;2;ae:56:39:e0:e1:96;1;7;461
6;1;f2:a9:ce:7a:1c:b9;4;195982;106218245
6;4;ae:56:39:e0:e1:96;1;8;535
3;2;ae:56:39:e0:e1:96;5;8;535
3;5;f2:a9:ce:7a:1c:b9;2;195982;106218245
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;195982;106218245
000000000000000a;2;ae:56:39:e0:e1:96;1;8;535
3;2;ae:56:39:e0:e1:96;5;8;535
3;5;f2:a9:ce:7a:1c:b9;2;221809;120216479
6;1;f2:a9:ce:7a:1c:b9;4;221809;120216479
6;4;ae:56:39:e0:e1:96;1;8;535
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;221809;120216479
000000000000001b;3;ae:56:39:e0:e1:96;1;7;461
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;221809;120216479
000000000000001a;2;ae:56:39:e0:e1:96;1;7;461
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;221809;120216479
000000000000000a;2;ae:56:39:e0:e1:96;1;8;535
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;246592;133648865
000000000000001b;3;ae:56:39:e0:e1:96;1;7;461
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;246592;133648865
000000000000001a;2;ae:56:39:e0:e1:96;1;7;461
6;1;f2:a9:ce:7a:1c:b9;4;246592;133648865
6;4;ae:56:39:e0:e1:96;1;8;535
3;2;ae:56:39:e0:e1:96;5;8;535
3;5;f2:a9:ce:7a:1c:b9;2;246592;133648865
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;246592;133648865
000000000000000a;2;ae:56:39:e0:e1:96;1;8;535
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;271896;147361682
000000000000001a;2;ae:56:39:e0:e1:96;1;11;678
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;271896;147361682
000000000000000a;2;ae:56:39:e0:e1:96;1;12;752
3;2;ae:56:39:e0:e1:96;5;12;752
3;5;f2:a9:ce:7a:1c:b9;2;271896;147361682
6;1;f2:a9:ce:7a:1c:b9;4;271896;147361682
6;4;ae:56:39:e0:e1:96;1;12;752
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;271896;147361682
000000000000001b;3;ae:56:39:e0:e1:96;1;11;678
