@relation monitor-ddos-flow-attack-stats_clustered

@attribute Instance_number numeric
@attribute datapath string
@attribute in-port numeric
@attribute eth-dst string
@attribute out-port numeric
@attribute packets numeric
@attribute bytes numeric
@attribute Cluster {cluster0,cluster1}

@data
0,000000000000001b,1,de:f5:ad:55:e8:54,3,8,825,cluster1
1,000000000000001b,3,0e:9b:90:6e:a3:53,1,7,493,cluster1
2,3,2,0e:9b:90:6e:a3:53,5,7,493,cluster1
3,3,5,de:f5:ad:55:e8:54,2,8,825,cluster1
4,000000000000000a,1,de:f5:ad:55:e8:54,2,8,825,cluster1
5,000000000000000a,2,0e:9b:90:6e:a3:53,1,7,493,cluster1
6,000000000000001a,1,de:f5:ad:55:e8:54,2,8,825,cluster1
7,000000000000001a,2,0e:9b:90:6e:a3:53,1,7,493,cluster1
8,6,1,de:f5:ad:55:e8:54,4,8,825,cluster1
9,6,4,0e:9b:90:6e:a3:53,1,7,493,cluster1
10,3,2,0e:9b:90:6e:a3:53,5,8,535,cluster1
11,3,5,de:f5:ad:55:e8:54,2,9,867,cluster1
12,000000000000000a,1,de:f5:ad:55:e8:54,2,9,867,cluster1
13,000000000000000a,2,0e:9b:90:6e:a3:53,1,8,535,cluster1
14,6,1,de:f5:ad:55:e8:54,4,9,867,cluster1
15,6,4,0e:9b:90:6e:a3:53,1,8,535,cluster1
16,000000000000001a,1,de:f5:ad:55:e8:54,2,9,867,cluster1
17,000000000000001a,2,0e:9b:90:6e:a3:53,1,8,535,cluster1
18,000000000000001b,1,de:f5:ad:55:e8:54,3,9,867,cluster1
19,000000000000001b,3,0e:9b:90:6e:a3:53,1,8,535,cluster1
20,3,2,0e:9b:90:6e:a3:53,5,17,1453,cluster1
21,3,5,de:f5:ad:55:e8:54,2,241952,17904649,cluster1
22,6,1,de:f5:ad:55:e8:54,4,241952,17904649,cluster1
23,6,4,0e:9b:90:6e:a3:53,1,17,1453,cluster1
24,000000000000000a,1,de:f5:ad:55:e8:54,2,241952,17904649,cluster1
25,000000000000000a,2,0e:9b:90:6e:a3:53,1,17,1453,cluster1
26,000000000000001a,1,de:f5:ad:55:e8:54,2,241952,17904649,cluster1
27,000000000000001a,2,0e:9b:90:6e:a3:53,1,17,1453,cluster1
28,000000000000001b,1,de:f5:ad:55:e8:54,3,241952,17904649,cluster1
29,000000000000001b,3,0e:9b:90:6e:a3:53,1,17,1453,cluster1
30,3,2,0e:9b:90:6e:a3:53,5,27,2473,cluster1
31,3,5,de:f5:ad:55:e8:54,2,874855,64739471,cluster1
32,000000000000001a,1,de:f5:ad:55:e8:54,2,874855,64739471,cluster1
33,000000000000001a,2,0e:9b:90:6e:a3:53,1,27,2473,cluster1
34,6,1,de:f5:ad:55:e8:54,4,874855,64739471,cluster1
35,6,4,0e:9b:90:6e:a3:53,1,27,2473,cluster1
36,000000000000000a,1,de:f5:ad:55:e8:54,2,874855,64739471,cluster1
37,000000000000000a,2,0e:9b:90:6e:a3:53,1,27,2473,cluster1
38,000000000000001b,1,de:f5:ad:55:e8:54,3,874855,64739471,cluster1
39,000000000000001b,3,0e:9b:90:6e:a3:53,1,27,2473,cluster1
40,000000000000001b,1,de:f5:ad:55:e8:54,3,1519706,112458413,cluster0
41,000000000000001b,3,0e:9b:90:6e:a3:53,1,38,3535,cluster1
42,6,1,de:f5:ad:55:e8:54,4,1519706,112458413,cluster0
43,6,4,0e:9b:90:6e:a3:53,1,38,3535,cluster1
44,3,2,0e:9b:90:6e:a3:53,5,38,3535,cluster1
45,3,5,de:f5:ad:55:e8:54,2,1519706,112458413,cluster1
46,000000000000000a,1,de:f5:ad:55:e8:54,2,1519706,112458413,cluster0
47,000000000000000a,2,0e:9b:90:6e:a3:53,1,38,3535,cluster1
48,000000000000001a,1,de:f5:ad:55:e8:54,2,1519706,112458413,cluster0
49,000000000000001a,2,0e:9b:90:6e:a3:53,1,38,3535,cluster1
50,3,2,0e:9b:90:6e:a3:53,5,49,4597,cluster1
51,3,5,de:f5:ad:55:e8:54,2,2157215,159634047,cluster0
52,000000000000001a,1,de:f5:ad:55:e8:54,2,2157215,159634047,cluster0
53,000000000000001a,2,0e:9b:90:6e:a3:53,1,49,4597,cluster1
54,000000000000000a,1,de:f5:ad:55:e8:54,2,2157215,159634047,cluster0
55,000000000000000a,2,0e:9b:90:6e:a3:53,1,49,4597,cluster1
56,000000000000001b,1,de:f5:ad:55:e8:54,3,2157215,159634047,cluster0
57,000000000000001b,3,0e:9b:90:6e:a3:53,1,49,4597,cluster1
58,6,1,de:f5:ad:55:e8:54,4,2157215,159634047,cluster0
59,6,4,0e:9b:90:6e:a3:53,1,49,4597,cluster1
60,000000000000001a,1,de:f5:ad:55:e8:54,2,2790116,206468721,cluster0
61,000000000000001a,2,0e:9b:90:6e:a3:53,1,59,5617,cluster1
62,000000000000001b,1,de:f5:ad:55:e8:54,3,2790116,206468721,cluster0
63,000000000000001b,3,0e:9b:90:6e:a3:53,1,59,5617,cluster1
64,3,2,0e:9b:90:6e:a3:53,5,59,5617,cluster1
65,3,5,de:f5:ad:55:e8:54,2,2790116,206468721,cluster0
66,6,1,de:f5:ad:55:e8:54,4,2790116,206468721,cluster0
67,6,4,0e:9b:90:6e:a3:53,1,59,5617,cluster1
68,000000000000000a,1,de:f5:ad:55:e8:54,2,2790116,206468721,cluster0
69,000000000000000a,2,0e:9b:90:6e:a3:53,1,59,5617,cluster1
70,000000000000001b,1,de:f5:ad:55:e8:54,3,3426471,253558991,cluster0
71,000000000000001b,3,0e:9b:90:6e:a3:53,1,69,6637,cluster1
72,000000000000001a,1,de:f5:ad:55:e8:54,2,3426471,253558991,cluster0
73,000000000000001a,2,0e:9b:90:6e:a3:53,1,69,6637,cluster1
74,3,2,0e:9b:90:6e:a3:53,5,69,6637,cluster1
75,3,5,de:f5:ad:55:e8:54,2,3426471,253558991,cluster0
76,6,1,de:f5:ad:55:e8:54,4,3426471,253558991,cluster0
77,6,4,0e:9b:90:6e:a3:53,1,69,6637,cluster1
78,000000000000000a,1,de:f5:ad:55:e8:54,2,3426471,253558991,cluster0
79,000000000000000a,2,0e:9b:90:6e:a3:53,1,69,6637,cluster1
80,000000000000001b,1,de:f5:ad:55:e8:54,3,4076008,301624697,cluster0
81,000000000000001b,3,0e:9b:90:6e:a3:53,1,80,7699,cluster1
82,3,2,0e:9b:90:6e:a3:53,5,80,7699,cluster1
83,3,5,de:f5:ad:55:e8:54,2,4076008,301624697,cluster0
84,000000000000000a,1,de:f5:ad:55:e8:54,2,4076008,301624697,cluster0
85,000000000000000a,2,0e:9b:90:6e:a3:53,1,80,7699,cluster1
86,000000000000001a,1,de:f5:ad:55:e8:54,2,4076008,301624697,cluster0
87,000000000000001a,2,0e:9b:90:6e:a3:53,1,80,7699,cluster1
88,6,1,de:f5:ad:55:e8:54,4,4076008,301624697,cluster0
89,6,4,0e:9b:90:6e:a3:53,1,80,7699,cluster1
90,6,1,de:f5:ad:55:e8:54,4,4717920,349126185,cluster0
91,6,4,0e:9b:90:6e:a3:53,1,90,8719,cluster1
92,000000000000000a,1,de:f5:ad:55:e8:54,2,4717920,349126185,cluster0
93,000000000000000a,2,0e:9b:90:6e:a3:53,1,90,8719,cluster1
94,000000000000001b,1,de:f5:ad:55:e8:54,3,4717920,349126185,cluster0
95,000000000000001b,3,0e:9b:90:6e:a3:53,1,90,8719,cluster1
96,000000000000001a,1,de:f5:ad:55:e8:54,2,4717920,349126185,cluster0
97,000000000000001a,2,0e:9b:90:6e:a3:53,1,90,8719,cluster1
98,3,2,0e:9b:90:6e:a3:53,5,90,8719,cluster1
99,3,5,de:f5:ad:55:e8:54,2,4717920,349126185,cluster0
100,000000000000000a,1,de:f5:ad:55:e8:54,2,5347520,395716553,cluster0
