@relation monitor-ddos-port-attack-stats

@attribute datapath string
@attribute port string
@attribute rx-pkts numeric
@attribute rx-bytes numeric
@attribute rx-error numeric
@attribute tx-pkts numeric
@attribute tx-bytes numeric
@attribute tx-error numeric

@data
9,1,17,1128,0,7,528,0
9,2,7,528,0,17,1128,0
9,fffffffe,0,0,0,0,0,0
18,1,8,588,0,17,1128,0
18,2,15,1008,0,8,588,0
18,fffffffe,0,0,0,0,0,0
000000000000001b,1,16,1068,0,8,588,0
000000000000001b,2,10,708,0,15,1008,0
000000000000001b,3,6,468,0,16,1068,0
000000000000001b,fffffffe,0,0,0,0,0,0
000000000000000e,1,20,1318,0,7,528,0
000000000000000e,2,7,528,0,19,1248,0
000000000000000e,fffffffe,0,0,0,0,0,0
15,1,17,1128,0,7,528,0
15,2,8,588,0,16,1068,0
15,fffffffe,0,0,0,0,0,0
19,1,8,588,0,15,1008,0
19,2,16,1068,0,8,588,0
19,fffffffe,0,0,0,0,0,0
4,1,17,1128,0,8,588,0
4,2,9,648,0,16,1068,0
4,3,7,528,0,16,1068,0
4,fffffffe,0,0,0,0,0,0
13,1,20,1338,0,7,528,0
13,fffffffe,0,0,0,0,0,0
2,1,17,1128,0,7,528,0
2,2,7,528,0,17,1128,0
2,fffffffe,0,0,0,0,0,0
14,1,20,1338,0,7,528,0
14,fffffffe,0,0,0,0,0,0
000000000000001c,1,15,1008,0,10,708,0
000000000000001c,2,8,588,0,17,1128,0
000000000000001c,fffffffe,0,0,0,0,0,0
16,1,16,1068,0,8,588,0
16,fffffffe,0,0,0,0,0,0
17,1,17,1128,0,8,588,0
17,2,12,828,0,18,1188,0
17,fffffffe,0,0,0,0,0,0
000000000000001a,1,15,1008,0,9,678,0
000000000000001a,2,8,588,0,16,1068,0
000000000000001a,fffffffe,0,0,0,0,0,0
000000000000000b,1,17,1128,0,9,648,0
000000000000000b,2,11,768,0,16,1068,0
000000000000000b,3,9,648,0,16,1068,0
000000000000000b,fffffffe,0,0,0,0,0,0
8,1,20,1308,0,10,708,0
8,2,17,1128,0,8,588,0
8,3,7,528,0,17,1128,0
8,fffffffe,0,0,0,0,0,0
11,1,17,1138,0,8,588,0
11,fffffffe,0,0,0,0,0,0
10,1,17,1128,0,9,648,0
10,2,8,588,0,17,1138,0
10,fffffffe,0,0,0,0,0,0
12,1,20,1338,0,7,528,0
12,fffffffe,0,0,0,0,0,0
3,1,17,1128,0,7,528,0
3,2,8,588,0,18,1188,0
3,3,8,588,0,17,1128,0
3,4,16,1068,0,11,768,0
3,5,6,468,0,19,1248,0
3,6,6,468,0,17,1128,0
3,fffffffe,0,0,0,0,0,0
000000000000001d,1,17,1128,0,8,588,0
000000000000001d,2,18,1188,0,12,828,0
000000000000001d,fffffffe,0,0,0,0,0,0
000000000000000a,1,19,1248,0,7,528,0
000000000000000a,2,9,678,0,15,1008,0
000000000000000a,3,8,588,0,16,1068,0
000000000000000a,fffffffe,0,0,0,0,0,0
7,1,16,1068,0,9,648,0
7,2,18,1188,0,10,738,0
7,3,7,528,0,20,1338,0
7,4,7,528,0,20,1338,0
7,5,7,528,0,20,1338,0
7,fffffffe,0,0,0,0,0,0
1,1,7,528,0,17,1128,0
1,2,9,648,0,17,1128,0
1,fffffffe,0,0,0,0,0,0
5,1,16,1068,0,7,528,0
5,2,8,588,0,17,1128,0
5,fffffffe,0,0,0,0,0,0
000000000000000f,1,19,1248,0,7,528,0
000000000000000f,fffffffe,0,0,0,0,0,0
000000000000000c,1,16,1068,0,9,648,0
000000000000000c,2,12,838,0,18,1188,0
000000000000000c,fffffffe,0,0,0,0,0,0
6,1,18,1188,0,8,588,0
6,2,10,738,0,18,1188,0
6,3,10,708,0,20,1308,0
6,4,7,528,0,19,1248,0
6,fffffffe,0,0,0,0,0,0
000000000000000d,1,18,1188,0,12,838,0
000000000000000d,2,9,648,0,17,1128,0
000000000000000d,3,7,528,0,20,1318,0
000000000000000d,fffffffe,0,0,0,0,0,0
000000000000001b,1,21,1368,0,8,588,0
000000000000001b,2,10,708,0,20,1308,0
000000000000001b,3,6,468,0,21,1368,0
000000000000001b,fffffffe,0,0,0,0,0,0
9,1,22,1428,0,7,528,0
9,2,7,528,0,22,1428,0
9,fffffffe,0,0,0,0,0,0
000000000000001c,1,20,1308,0,10,708,0
000000000000001c,2,8,588,0,22,1428,0
000000000000001c,fffffffe,0,0,0,0,0,0
000000000000001a,1,20,1308,0,9,678,0
000000000000001a,2,8,588,0,21,1368,0
000000000000001a,fffffffe,0,0,0,0,0,0
000000000000001d,1,22,1428,0,8,588,0
000000000000001d,2,23,1488,0,12,828,0
000000000000001d,fffffffe,0,0,0,0,0,0
6,1,23,1488,0,8,588,0
6,2,10,738,0,23,1488,0
6,3,10,708,0,25,1608,0
6,4,7,528,0,24,1548,0
6,fffffffe,0,0,0,0,0,0
14,1,25,1638,0,7,528,0
14,fffffffe,0,0,0,0,0,0
17,1,22,1428,0,8,588,0
17,2,12,828,0,23,1488,0
17,fffffffe,0,0,0,0,0,0
15,1,22,1428,0,7,528,0
15,2,8,588,0,21,1368,0
15,fffffffe,0,0,0,0,0,0
7,1,21,1368,0,9,648,0
7,2,23,1488,0,10,738,0
7,3,7,528,0,25,1638,0
7,4,7,528,0,25,1638,0
7,5,7,528,0,25,1638,0
7,fffffffe,0,0,0,0,0,0
000000000000000e,1,25,1618,0,7,528,0
000000000000000e,2,7,528,0,24,1548,0
000000000000000e,fffffffe,0,0,0,0,0,0
3,1,22,1428,0,7,528,0
3,2,8,588,0,23,1488,0
3,3,8,588,0,22,1428,0
3,4,21,1368,0,11,768,0
3,5,6,468,0,24,1548,0
3,6,6,468,0,22,1428,0
3,fffffffe,0,0,0,0,0,0
11,1,22,1438,0,8,588,0
11,fffffffe,0,0,0,0,0,0
18,1,8,588,0,22,1428,0
18,2,20,1308,0,8,588,0
18,fffffffe,0,0,0,0,0,0
8,1,25,1608,0,10,708,0
8,2,22,1428,0,8,588,0
8,3,7,528,0,22,1428,0
8,fffffffe,0,0,0,0,0,0
000000000000000b,1,22,1428,0,9,648,0
000000000000000b,2,11,768,0,21,1368,0
000000000000000b,3,9,648,0,21,1368,0
000000000000000b,fffffffe,0,0,0,0,0,0
000000000000000f,1,24,1548,0,7,528,0
000000000000000f,fffffffe,0,0,0,0,0,0
000000000000000c,1,21,1368,0,9,648,0
000000000000000c,2,12,838,0,23,1488,0
000000000000000c,fffffffe,0,0,0,0,0,0
19,1,8,588,0,20,1308,0
19,2,21,1368,0,8,588,0
19,fffffffe,0,0,0,0,0,0
000000000000000d,1,23,1488,0,12,838,0
000000000000000d,2,9,648,0,22,1428,0
000000000000000d,3,7,528,0,25,1618,0
000000000000000d,fffffffe,0,0,0,0,0,0
1,1,7,528,0,22,1428,0
1,2,9,648,0,22,1428,0
1,fffffffe,0,0,0,0,0,0
12,1,25,1638,0,7,528,0
12,fffffffe,0,0,0,0,0,0
2,1,22,1428,0,7,528,0
2,2,7,528,0,22,1428,0
2,fffffffe,0,0,0,0,0,0
5,1,21,1368,0,7,528,0
5,2,8,588,0,22,1428,0
5,fffffffe,0,0,0,0,0,0
000000000000000a,1,24,1548,0,7,528,0
000000000000000a,2,9,678,0,20,1308,0
000000000000000a,3,8,588,0,21,1368,0
000000000000000a,fffffffe,0,0,0,0,0,0
10,1,22,1428,0,9,648,0
10,2,8,588,0,22,1438,0
10,fffffffe,0,0,0,0,0,0
4,1,22,1428,0,8,588,0
4,2,9,648,0,21,1368,0
4,3,7,528,0,21,1368,0
4,fffffffe,0,0,0,0,0,0
13,1,25,1638,0,7,528,0
13,fffffffe,0,0,0,0,0,0
16,1,21,1368,0,8,588,0
16,fffffffe,0,0,0,0,0,0
5,1,27,1728,0,8,588,0
5,2,8,588,0,27,1728,0
5,fffffffe,0,0,0,0,0,0
8,1,32,2028,0,12,828,0
8,2,27,1728,0,8,588,0
8,3,9,648,0,29,1848,0
8,fffffffe,0,0,0,0,0,0
000000000000000b,1,28,1788,0,10,708,0
000000000000000b,2,11,768,0,26,1668,0
000000000000000b,3,10,708,0,27,1728,0
000000000000000b,fffffffe,0,0,0,0,0,0
18,1,9,648,0,28,1788,0
18,2,27,1728,0,10,708,0
18,fffffffe,0,0,0,0,0,0
17,1,28,1788,0,9,648,0
17,2,12,828,0,28,1788,0
17,fffffffe,0,0,0,0,0,0
11,1,27,1738,0,8,588,0
11,fffffffe,0,0,0,0,0,0
16,1,26,1668,0,8,588,0
16,fffffffe,0,0,0,0,0,0
000000000000000d,1,29,1848,0,13,898,0
000000000000000d,2,10,708,0,28,1788,0
000000000000000d,3,8,588,0,31,1978,0
000000000000000d,fffffffe,0,0,0,0,0,0
000000000000000f,1,29,1848,0,7,528,0
000000000000000f,fffffffe,0,0,0,0,0,0
000000000000000a,1,30,1908,0,8,588,0
000000000000000a,2,10,738,0,26,1668,0
000000000000000a,3,10,708,0,28,1788,0
000000000000000a,fffffffe,0,0,0,0,0,0
1,1,10,708,0,30,1908,0
1,2,10,708,0,28,1788,0
1,fffffffe,0,0,0,0,0,0
000000000000001b,1,27,1728,0,9,648,0
000000000000001b,2,11,768,0,26,1668,0
000000000000001b,3,6,468,0,26,1668,0
000000000000001b,fffffffe,0,0,0,0,0,0
2,1,30,1908,0,10,708,0
2,2,9,648,0,29,1848,0
2,fffffffe,0,0,0,0,0,0
000000000000001a,1,26,1668,0,10,738,0
000000000000001a,2,9,648,0,27,1728,0
000000000000001a,fffffffe,0,0,0,0,0,0
3,1,29,1848,0,9,648,0
3,2,10,708,0,30,1908,0
3,3,10,708,0,29,1848,0
3,4,26,1668,0,11,768,0
3,5,6,468,0,29,1848,0
3,6,6,468,0,27,1728,0
3,fffffffe,0,0,0,0,0,0
9,1,29,1848,0,9,648,0
9,2,8,588,0,28,1788,0
9,fffffffe,0,0,0,0,0,0
15,1,28,1788,0,8,588,0
15,2,8,588,0,26,1668,0
15,fffffffe,0,0,0,0,0,0
000000000000001d,1,27,1728,0,8,588,0
000000000000001d,2,28,1788,0,12,828,0
000000000000001d,fffffffe,0,0,0,0,0,0
4,1,29,1848,0,10,708,0
4,2,11,768,0,28,1788,0
4,3,8,588,0,27,1728,0
4,fffffffe,0,0,0,0,0,0
000000000000001c,1,26,1668,0,11,768,0
000000000000001c,2,8,588,0,27,1728,0
000000000000001c,fffffffe,0,0,0,0,0,0
000000000000000c,1,27,1728,0,10,708,0
000000000000000c,2,13,898,0,29,1848,0
000000000000000c,fffffffe,0,0,0,0,0,0
12,1,30,1938,0,7,528,0
12,fffffffe,0,0,0,0,0,0
13,1,30,1938,0,7,528,0
13,fffffffe,0,0,0,0,0,0
6,1,30,1908,0,10,708,0
6,2,10,738,0,28,1788,0
6,3,12,828,0,32,2028,0
6,4,8,588,0,30,1908,0
6,fffffffe,0,0,0,0,0,0
7,1,28,1788,0,11,768,0
7,2,28,1788,0,10,738,0
7,3,7,528,0,30,1938,0
7,4,7,528,0,30,1938,0
7,5,7,528,0,30,1938,0
7,fffffffe,0,0,0,0,0,0
14,1,30,1938,0,7,528,0
14,fffffffe,0,0,0,0,0,0
10,1,28,1788,0,10,708,0
10,2,8,588,0,27,1738,0
10,fffffffe,0,0,0,0,0,0
000000000000000e,1,31,1978,0,8,588,0
000000000000000e,2,7,528,0,29,1848,0
000000000000000e,fffffffe,0,0,0,0,0,0
19,1,10,708,0,27,1728,0
19,2,28,1788,0,10,708,0
19,fffffffe,0,0,0,0,0,0
5,1,32,2028,0,8,588,0
5,2,8,588,0,32,2028,0
5,fffffffe,0,0,0,0,0,0
000000000000000c,1,33,2088,0,11,768,0
000000000000000c,2,14,958,0,35,2208,0
000000000000000c,fffffffe,0,0,0,0,0,0
16,1,31,1968,0,8,588,0
16,fffffffe,0,0,0,0,0,0
8,1,38,2388,0,13,888,0
8,2,32,2028,0,8,588,0
8,3,9,648,0,34,2148,0
8,fffffffe,0,0,0,0,0,0
18,1,9,648,0,33,2088,0
18,2,32,2028,0,10,708,0
18,fffffffe,0,0,0,0,0,0
12,1,35,2238,0,7,528,0
12,fffffffe,0,0,0,0,0,0
7,1,33,2088,0,11,768,0
7,2,33,2088,0,10,738,0
7,3,7,528,0,35,2238,0
7,4,7,528,0,35,2238,0
7,5,7,528,0,35,2238,0
7,fffffffe,0,0,0,0,0,0
000000000000001c,1,31,1968,0,11,768,0
000000000000001c,2,8,588,0,32,2028,0
000000000000001c,fffffffe,0,0,0,0,0,0
14,1,35,2238,0,7,528,0
14,fffffffe,0,0,0,0,0,0
000000000000001d,1,32,2028,0,8,588,0
000000000000001d,2,33,2088,0,12,828,0
000000000000001d,fffffffe,0,0,0,0,0,0
15,1,33,2088,0,8,588,0
15,2,8,588,0,31,1968,0
15,fffffffe,0,0,0,0,0,0
000000000000000b,1,35,2208,0,12,828,0
000000000000000b,2,11,768,0,31,1968,0
000000000000000b,3,11,768,0,33,2088,0
000000000000000b,fffffffe,0,0,0,0,0,0
000000000000001b,1,33,2088,0,10,708,0
000000000000001b,2,11,768,0,31,1968,0
